"subject","block","exposures","response","RT"
1,0,0,"z",1770
1,0,-1,"z",1675
1,0,-1,"m",1287
1,0,0,"m",1269
1,0,0,"m",1353
1,0,0,"m",1302
1,0,1,"z",823
1,0,2,"z",829
1,0,0,"m",1038
1,0,4,"z",1050
1,0,0,"m",917
1,0,0,"m",988
1,0,-1,"z",794
1,0,3,"z",688
1,0,0,"m",1037
1,0,-1,"z",839
1,1,0,"z",1074
1,1,-1,"z",846
1,1,0,"m",1632
1,1,-1,"z",608
1,1,-1,"z",417
1,1,0,"z",557
1,1,2,"z",475
1,1,-1,"z",765
1,1,0,"m",1589
1,1,0,"m",815
1,1,0,"m",791
1,1,1,"m",1256
1,1,0,"z",722
1,1,4,"z",707
1,1,0,"m",878
1,1,3,"z",497
1,2,4,"z",1141
1,2,3,"z",892
1,2,0,"m",1446
1,2,0,"m",868
1,2,-1,"z",2038
1,2,-1,"z",947
1,2,0,"m",925
1,2,0,"m",807
1,2,-1,"z",848
1,2,0,"z",1143
1,2,0,"m",1328
1,2,2,"z",497
1,2,-1,"z",731
1,2,1,"m",1671
1,2,0,"m",1257
1,2,0,"m",900
1,3,0,"z",1422
1,3,-1,"m",1025
1,3,-1,"m",991
1,3,0,"m",1424
1,3,-1,"z",656
1,3,1,"z",1239
1,3,2,"z",497
1,3,0,"z",512
1,3,-1,"z",1469
1,3,4,"z",832
1,3,0,"m",1018
1,3,0,"m",1540
1,3,0,"z",611
1,3,0,"z",616
1,3,0,"z",759
1,3,3,"z",875
1,4,2,"z",414
1,4,0,"z",332
1,4,0,"m",595
1,4,0,"m",525
1,4,1,"m",440
1,4,0,"z",454
1,4,0,"z",460
1,4,0,"z",404
1,4,-1,"z",642
1,4,-1,"z",755
1,4,0,"m",737
1,4,0,"z",429
1,4,-1,"z",912
1,4,4,"z",526
1,4,-1,"z",580
1,4,3,"m",732
1,5,3,"z",639
1,5,0,"m",503
1,5,0,"z",775
1,5,-1,"z",486
1,5,0,"z",886
1,5,1,"m",663
1,5,-1,"z",555
1,5,0,"m",602
1,5,4,"z",459
1,5,-1,"z",550
1,5,0,"z",879
1,5,0,"z",749
1,5,0,"z",867
1,5,-1,"z",541
1,5,0,"z",484
1,5,2,"m",589
1,6,0,"m",1631
1,6,2,"z",1213
1,6,-1,"z",628
1,6,0,"m",1335
1,6,1,"z",1477
1,6,0,"m",1071
1,6,-1,"z",1737
1,6,-1,"z",1032
1,6,0,"m",897
1,6,0,"m",1159
