"subject","block","exposures","response","RT"
1,0,0,"z",1561
1,0,-1,"m",1387
1,0,-1,"m",979
1,0,0,"m",946
1,0,0,"z",799
1,0,0,"z",751
1,0,1,"z",937
1,0,2,"m",566
1,0,0,"m",849
1,0,4,"z",622
1,0,0,"z",840
1,0,0,"m",529
1,0,-1,"m",842
1,0,3,"z",630
1,0,0,"m",1015
1,0,-1,"z",634
1,1,0,"z",750
1,1,-1,"m",425
1,1,0,"m",596
1,1,-1,"z",458
1,1,-1,"z",584
1,1,0,"z",576
1,1,2,"m",343
1,1,-1,"m",527
1,1,0,"z",212
1,1,0,"m",616
1,1,0,"z",466
1,1,1,"z",576
1,1,0,"m",324
1,1,4,"z",633
1,1,0,"z",315
1,1,3,"m",243
1,2,4,"z",18727
1,2,3,"m",635
1,2,0,"z",428
1,2,0,"z",470
1,2,-1,"m",410
1,2,-1,"m",622
1,2,0,"m",985
1,2,0,"z",223
1,2,-1,"m",1110
1,2,0,"z",118
1,2,0,"z",323
1,2,2,"z",719
1,2,-1,"m",215
1,2,1,"z",399
1,2,0,"z",1053
1,2,0,"z",682
1,3,0,"m",1358
1,3,-1,"z",1030
1,3,-1,"z",681
1,3,0,"m",1081
1,3,-1,"m",925
1,3,1,"m",973
1,3,2,"z",1023
1,3,0,"z",643
1,3,-1,"m",1053
1,3,4,"m",1410
1,3,0,"m",799
1,3,0,"z",674
1,3,0,"z",898
1,3,0,"z",849
1,3,0,"z",1052
1,3,3,"m",1276
1,4,2,"z",8573
1,4,0,"m",528
1,4,0,"m",808
1,4,0,"z",712
1,4,1,"z",722
1,4,0,"m",834
1,4,0,"z",390
1,4,0,"m",164
1,4,-1,"z",176
1,4,-1,"z",135
1,4,0,"m",253
1,4,0,"m",303
1,4,-1,"z",155
1,4,4,"z",204
1,4,-1,"m",606
1,4,3,"m",301
1,5,3,"z",1147
1,5,0,"m",926
1,5,0,"m",205
1,5,-1,"z",254
1,5,0,"z",1042
1,5,1,"m",449
1,5,-1,"z",1013
1,5,0,"z",712
1,5,4,"m",234
1,5,-1,"z",653
1,5,0,"z",653
1,5,0,"z",953
1,5,0,"m",605
1,5,-1,"z",641
1,5,0,"z",819
1,5,2,"m",643
1,6,0,"m",634
1,6,2,"m",577
1,6,-1,"z",616
1,6,0,"m",761
1,6,1,"z",887
1,6,0,"z",685
1,6,-1,"m",538
1,6,-1,"m",712
1,6,0,"m",868
1,6,0,"z",702
1,6,0,"z",740
1,6,4,"z",714
1,6,-1,"m",694
1,6,0,"z",546
1,6,0,"z",642
1,6,3,"m",508
1,7,0,"m",901
1,7,-1,"z",751
1,7,-1,"m",848
1,7,1,"m",713
1,7,0,"z",566
1,7,0,"z",764
1,7,0,"z",673
1,7,3,"m",576
1,7,-1,"m",790
1,7,0,"z",750
1,7,0,"z",567
1,7,0,"z",772
1,7,0,"m",656
1,7,2,"z",772
1,7,4,"z",615
1,7,-1,"z",791
1,8,3,"z",610
1,8,-1,"z",556
1,8,0,"m",421
1,8,0,"m",642
1,8,1,"z",593
1,8,4,"z",528
1,8,0,"z",683
1,8,0,"m",723
1,8,0,"m",339
